lat,lon,year,cat,og,d,v,n
33.77,-118.183,2015,Inspection,E,1,0,1
33.781,-118.194,2015,No type recorded,I,1,0,2
33.777,-118.17,2015,No type recorded,E,1,0,1
33.775,-118.171,2015,No type recorded,I,1,0,2
33.777,-118.172,2015,Property Maintenance,I,1,0,1
33.777,-118.173,2015,No type recorded,I,1,0,1
33.773,-118.199,2015,No type recorded,E,1,0,1
33.772,-118.196,2015,Property Maintenance,I,1,0,3
33.772,-118.186,2015,No type recorded,E,1,0,1
33.777,-118.178,2015,No type recorded,E,1,1,2
33.768,-118.184,2015,No type recorded,I,1,0,2
33.781,-118.191,2009,No type recorded,E,1,1,1
33.778,-118.196,2015,No type recorded,E,1,1,1
33.772,-118.187,2015,Other,E,1,0,1
33.781,-118.195,2015,No type recorded,E,1,1,6
33.775,-118.179,2015,No type recorded,E,1,1,3
33.767,-118.195,2015,Graffiti,E,1,0,1
33.769,-118.186,2015,Property Maintenance,E,1,0,1
33.771,-118.195,2015,Vehicles,I,1,0,1
33.777,-118.178,2009,Property Maintenance,I,1,1,2
33.778,-118.174,2015,No type recorded,I,1,1,1
33.777,-118.175,2015,Property Maintenance,I,1,0,1
33.771,-118.197,2015,Inspection,E,1,1,2
33.77,-118.184,2015,No type recorded,E,1,0,1
33.777,-118.179,2015,Property Maintenance,I,1,1,3
33.771,-118.194,2015,Inspection,E,1,0,1
33.779,-118.191,2015,Property Maintenance,I,1,1,1
33.771,-118.197,2015,Inspection,I,1,0,2
33.771,-118.196,2015,Property Maintenance,I,1,0,1
33.771,-118.196,2015,Animals,I,1,0,1
33.771,-118.198,2015,Inspection,E,1,0,1
33.772,-118.199,2009,Property Maintenance,E,1,1,2
33.779,-118.186,2015,No type recorded,E,1,0,1
33.774,-118.194,2015,No type recorded,E,1,1,2
33.77,-118.196,2015,No type recorded,E,1,0,5
33.777,-118.176,2015,Property Maintenance,I,1,1,1
33.771,-118.196,2008,Property Maintenance,E,1,1,1
33.774,-118.196,2015,Health/Pests,E,1,0,1
33.776,-118.174,2015,No type recorded,I,1,0,2
33.778,-118.172,2015,No type recorded,E,1,0,1
33.777,-118.201,2015,Health/Pests,I,1,1,1
33.772,-118.186,2015,Inspection,E,1,0,1
33.781,-118.198,2015,No type recorded,E,1,0,3
