owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
LONG BEACH CITY,Public/Civic,80,744,83,1.0,Other,6,15,2,5,1,0,34,12,5,6,116,9,38,95,39,325,105,16,81
AVANATH SEAPORT LP,Limited Partnership,66,448,25,2.6,No type recorded,8,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,514,0
PENN PROPERTIES LLC,LLC,63,196,23,2.7,No type recorded,2,26,32,0,0,0,5,0,0,0,125,128,0,0,0,6,0,0,0
WP LBMF LLC AND,LLC,56,133,14,4.0,No type recorded,2,18,19,0,0,0,19,0,0,0,65,84,0,0,0,40,0,0,0
923 LONG BEACH LLC,LLC,52,43,2,26.0,Other,1,52,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
DAWN PATROL LLC,LLC,50,105,8,6.2,No type recorded,6,0,6,9,0,0,29,0,0,6,0,21,17,0,0,84,0,0,33
OCEAN STRUCTURE INC,Corporation,44,178,11,4.0,No type recorded,1,22,0,0,0,0,14,8,0,0,104,0,0,0,0,79,39,0,0
DECRO LONG BEACH LP,Limited Partnership,41,244,17,2.4,No type recorded,6,11,0,0,0,0,18,11,0,1,85,0,0,0,0,66,106,0,28
795 LONG BEACH BLVD LLC,LLC,40,94,2,20.0,Other,1,40,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0
"MAGNATTA,COSTANTINO CO TR",Corporation,40,37,3,13.3,No type recorded,1,29,11,0,0,0,0,0,0,0,50,27,0,0,0,0,0,0,0
ANASTASI DEVELOPMENT COMPANY LLC,LLC,37,67,1,37.0,Other,1,37,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
SBG REC LLC,LLC,34,77,7,4.9,No type recorded,7,2,0,0,0,0,0,17,0,15,12,0,0,0,0,0,64,0,35
ACKERFIELD 2 LLC,LLC,34,65,2,17.0,No type recorded,8,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,99,0
1135 MARTIN LUTHER LLC,LLC,33,17,1,33.0,No type recorded,6,0,0,0,0,0,33,0,0,0,0,0,0,0,0,50,0,0,0
GEMSTONE PROPERTIES LLC,LLC,33,56,1,33.0,Other,7,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,89,0,0
FOURTH ST SANDS APARTMENTS LLC,LLC,32,49,2,16.0,No type recorded,2,0,32,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
LUKAZAMA LLC,LLC,32,50,2,16.0,Other,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,82,0,0,0
HOWOOD PROPERTIES LP,Limited Partnership,31,41,3,10.3,No type recorded,9,15,0,0,0,0,0,0,0,16,40,4,0,0,0,0,0,0,28
AHUMADA PARTNERS LLC,LLC,31,52,1,31.0,Other,6,0,0,0,0,0,31,0,0,0,0,0,0,0,0,83,0,0,0
LEEWARD CAPITAL LONG BEACH LLC,LLC,30,54,1,30.0,Other,1,30,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0
304 PCH HOLDINGS LLC,LLC,30,63,4,7.5,Other,6,0,0,0,0,0,30,0,0,0,0,0,0,0,0,93,0,0,0
MARKET ST 1074 E LLC,LLC,30,27,3,10.0,No type recorded,8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,57,0
ROVE LONG BEACH CA006 LLC,LLC,29,28,5,5.8,Other,7,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,57,0,0
CADI XX LLC,LLC,28,105,3,9.3,Other,1,28,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0
HOBART VENICE LLC,LLC,27,55,2,13.5,No type recorded,1,27,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
